coalition_mask,coalition_size,coalition_zone_ids,coalition_value,base_allowed_zone_ids
634,6,93|216|138|237|28|161,102.41086371207622,
635,7,186|93|216|138|237|28|161,102.98297945428509,
636,6,134|216|138|237|28|161,102.32613706749176,
637,7,186|134|216|138|237|28|161,102.89823463681427,
638,7,93|134|216|138|237|28|161,102.41171639624912,
639,8,186|93|134|216|138|237|28|161,102.98382972494485,
640,2,219|161,101.98782373594494,
641,3,186|219|161,102.55995335087185,
642,3,93|219|161,102.34297159713017,
643,4,186|93|219|161,102.91509733306317,
644,3,134|219|161,102.26809554553309,
645,4,186|134|219|161,102.8402089878672,
646,4,93|134|219|161,102.39731959129469,
647,5,186|93|134|219|161,102.96944532722769,
648,3,216|219|161,102.26139782892176,
649,4,186|216|219|161,102.83350809091532,
650,4,93|216|219|161,102.40720224285839,
651,5,186|93|216|219|161,102.97932797879137,
652,4,134|216|219|161,102.29957647779379,
653,5,186|134|216|219|161,102.87168210828347,
654,5,93|134|216|219|161,102.40805176130544,
655,6,186|93|134|216|219|161,102.98017749723842,
656,3,138|219|161,102.06768073896944,
657,4,186|138|219|161,102.63979269835768,
658,4,93|138|219|161,102.34771776537319,
659,5,186|93|138|219|161,102.91984346309428,
660,4,134|138|219|161,102.29629430517775,
661,5,186|134|138|219|161,102.86840390235537,
662,5,93|134|138|219|161,102.4020850955069,
663,6,186|93|134|138|219|161,102.9742086336812,
664,4,216|138|219|161,102.30690864682553,
665,5,186|216|138|219|161,102.8790103701497,
666,5,93|216|138|219|161,102.41194829915155,
667,6,186|93|216|138|219|161,102.98407399687265,
668,5,134|216|138|219|161,102.32719519224113,
669,6,186|134|216|138|219|161,102.89929700892719,
670,6,93|134|216|138|219|161,102.41280348084132,
671,7,186|93|134|216|138|219|161,102.98492701901557,
672,3,237|219|161,101.98792429553032,
673,4,186|237|219|161,102.56002218167374,
674,4,93|237|219|161,102.34300616555974,
675,5,186|93|237|219|161,102.91512190635554,
676,4,134|237|219|161,102.26814849218181,
677,5,186|134|237|219|161,102.84024635737475,
678,5,93|134|237|219|161,102.397353817592,
679,6,186|93|134|237|219|161,102.96946955838779,
680,4,216|237|219|161,102.26144696311555,
681,5,186|216|237|219|161,102.83354447861566,
682,5,93|216|237|219|161,102.40723628066173,
683,6,186|93|216|237|219|161,102.97935202145753,
684,5,134|216|237|219|161,102.29960669819442,
685,6,186|134|216|237|219|161,102.8717042828454,
686,6,93|134|216|237|219|161,102.40808579910879,
687,7,186|93|134|216|237|219|161,102.98020153990457,
688,4,138|237|219|161,102.06772779330002,
689,5,186|138|237|219|161,102.63982564249407,
690,5,93|138|237|219|161,102.34775193825547,
691,6,186|93|138|237|219|161,102.91986768046435,
692,5,134|138|237|219|161,102.29632988821366,
693,6,186|134|138|237|219|161,102.86842773807646,
694,6,93|134|138|237|219|161,102.40211806590987,
695,7,186|93|134|138|237|219|161,102.97423139460562,
696,5,216|138|237|219|161,102.30692396961301,
697,6,186|216|138|237|219|161,102.87902153826674,
698,6,93|216|138|237|219|161,102.41198194140762,
699,7,186|93|216|138|237|219|161,102.9840976836165,
700,6,134|216|138|237|219|161,102.32720819670264,
701,7,186|134|216|138|237|219|161,102.89930576602512,
702,7,93|134|216|138|237|219|161,102.41283626274426,
703,8,186|93|134|216|138|237|219|161,102.98494959144001,
704,3,28|219|161,102.0597182609755,
705,4,186|28|219|161,102.6318568225944,
706,4,93|28|219|161,102.35403313396858,
707,5,186|93|28|219|161,102.9261588699016,
708,4,134|28|219|161,102.26809554553309,
709,5,186|134|28|219|161,102.8402089878672,
710,5,93|134|28|219|161,102.39731959129469,
711,6,186|93|134|28|219|161,102.96944532722769,
712,4,216|28|219|161,102.26139782892176,
713,5,186|216|28|219|161,102.83350809091532,
714,5,93|216|28|219|161,102.40720224285839,
715,6,186|93|216|28|219|161,102.97932797879137,
716,5,134|216|28|219|161,102.29957647779379,
717,6,186|134|216|28|219|161,102.87168210828347,
718,6,93|134|216|28|219|161,102.40805176130544,
719,7,186|93|134|216|28|219|161,102.98017749723842,
720,4,138|28|219|161,102.12251000125013,
721,5,186|138|28|219|161,102.69462460597587,
722,5,93|138|28|219|161,102.35877930079442,
723,6,186|93|138|28|219|161,102.93090499851552,
724,5,134|138|28|219|161,102.29629430517775,
725,6,186|134|138|28|219|161,102.86840390235537,
726,6,93|134|138|28|219|161,102.4020850955069,
727,7,186|93|134|138|28|219|161,102.9742086336812,
728,5,216|138|28|219|161,102.30690864682553,
729,6,186|216|138|28|219|161,102.8790103701497,
730,6,93|216|138|28|219|161,102.41194829915155,
731,7,186|93|216|138|28|219|161,102.98407399687265,
732,6,134|216|138|28|219|161,102.32719519224113,
733,7,186|134|216|138|28|219|161,102.89929700892719,
734,7,93|134|216|138|28|219|161,102.41280348084132,
735,8,186|93|134|216|138|28|219|161,102.98492701901557,
736,4,237|28|219|161,102.05986889164173,
737,5,186|237|28|219|161,102.63196677579376,
738,5,93|237|28|219|161,102.35406723440147,
739,6,186|93|237|28|219|161,102.92618297519726,
740,5,134|237|28|219|161,102.26814849218181,
741,6,186|134|237|28|219|161,102.84024635737475,
742,6,93|134|237|28|219|161,102.397353817592,
743,7,186|93|134|237|28|219|161,102.96946955838779,
744,5,216|237|28|219|161,102.26144696311555,
745,6,186|216|237|28|219|161,102.83354447861566,
746,6,93|216|237|28|219|161,102.40723628066173,
747,7,186|93|216|237|28|219|161,102.97935202145753,
748,6,134|216|237|28|219|161,102.29960669819442,
749,7,186|134|216|237|28|219|161,102.8717042828454,
750,7,93|134|216|237|28|219|161,102.40808579910879,
751,8,186|93|134|216|237|28|219|161,102.98020153990457,
752,5,138|237|28|219|161,102.12258429082948,
753,6,186|138|237|28|219|161,102.6946821400235,
754,6,93|138|237|28|219|161,102.35881300568003,
755,7,186|93|138|237|28|219|161,102.93092874788891,
756,6,134|138|237|28|219|161,102.29632988821366,
757,7,186|134|138|237|28|219|161,102.86842773807646,
758,7,93|134|138|237|28|219|161,102.40211806590987,
759,8,186|93|134|138|237|28|219|161,102.97423139460562,
760,6,216|138|237|28|219|161,102.30692396961301,
761,7,186|216|138|237|28|219|161,102.87902153826674,
762,7,93|216|138|237|28|219|161,102.41198194140762,
763,8,186|93|216|138|237|28|219|161,102.9840976836165,
764,7,134|216|138|237|28|219|161,102.32720819670264,
765,8,186|134|216|138|237|28|219|161,102.89930576602512,
766,8,93|134|216|138|237|28|219|161,102.41283626274426,
767,9,186|93|134|216|138|237|28|219|161,102.98494959144001,
768,2,130|161,101.98553634765801,
769,3,186|130|161,102.55766596258488,
770,3,93|130|161,102.34118811690489,
771,4,186|93|130|161,102.91331385283787,
772,3,134|130|161,102.2651368948796,
773,4,186|134|130|161,102.83725033721372,
774,4,93|134|130|161,102.39561306948849,
775,5,186|93|134|130|161,102.96773880542148,
776,3,216|130|161,102.26032612997857,
777,4,186|216|130|161,102.83243639197211,
778,4,93|216|130|161,102.40608417990755,
779,5,186|93|216|130|161,102.9782099130553,
780,4,134|216|130|161,102.29850534856688,
781,5,186|134|216|130|161,102.87061097905652,
782,5,93|134|216|130|161,102.40693189487584,
783,6,186|93|134|216|130|161,102.97905763080884,
784,3,138|130|161,102.06552345760568,
785,4,186|138|130|161,102.63763541699396,
786,4,93|138|130|161,102.34593428514789,
787,5,186|93|138|130|161,102.918059982869,
788,4,134|138|130|161,102.2934570522391,
789,5,186|134|138|130|161,102.86556664941673,
790,5,93|134|138|130|161,102.40037417761829,
791,6,186|93|134|138|130|161,102.9724977157926,
792,4,216|138|130|161,102.30583667945486,
793,5,186|216|138|130|161,102.87793840277902,
794,5,93|216|138|130|161,102.41083023620072,
795,6,186|93|216|138|130|161,102.98295593113654,
796,5,134|216|138|130|161,102.32612406303024,
797,6,186|134|216|138|130|161,102.89822587971629,
798,6,93|134|216|138|130|161,102.41168361434615,
799,7,186|93|134|216|138|130|161,102.98380715252044,
800,3,237|130|161,101.98563690724333,
801,4,186|237|130|161,102.55773479338677,
802,4,93|237|130|161,102.34122268533447,
803,5,186|93|237|130|161,102.91333842613025,
804,4,134|237|130|161,102.26518984152834,
805,5,186|134|237|130|161,102.83728770672127,
806,5,93|134|237|130|161,102.3956472957858,
807,6,186|93|134|237|130|161,102.96776303658159,
808,4,216|237|130|161,102.26037526417235,
809,5,186|216|237|130|161,102.83247277967246,
810,5,93|216|237|130|161,102.40611805133034,
811,6,186|93|216|237|130|161,102.97823379212612,
812,5,134|216|237|130|161,102.29853556896748,
813,6,186|134|216|237|130|161,102.87063315361848,
814,6,93|134|216|237|130|161,102.40696593267919,
815,7,186|93|134|216|237|130|161,102.979081673475,
816,4,138|237|130|161,102.06557051193627,
817,5,186|138|237|130|161,102.63766836113032,
818,5,93|138|237|130|161,102.34596845803019,
819,6,186|93|138|237|130|161,102.91808420023908,
820,5,134|138|237|130|161,102.29349263527503,
821,6,186|134|138|237|130|161,102.8655904851378,
822,6,93|134|138|237|130|161,102.40040714802124,
823,7,186|93|134|138|237|130|161,102.97252047671698,
824,5,216|138|237|130|161,102.30585200224232,
825,6,186|216|138|237|130|161,102.87794957089606,
826,6,93|216|138|237|130|161,102.41086371207622,
827,7,186|93|216|138|237|130|161,102.98297945428509,
828,6,134|216|138|237|130|161,102.32613706749176,
829,7,186|134|216|138|237|130|161,102.89823463681427,
830,7,93|134|216|138|237|130|161,102.41171639624912,
831,8,186|93|134|216|138|237|130|161,102.98382972494485,
832,3,28|130|161,102.05750583133171,
833,4,186|28|130|161,102.62964439295058,
834,4,93|28|130|161,102.35226847706878,
835,5,186|93|28|130|161,102.92439421300178,
836,4,134|28|130|161,102.2651368948796,
837,5,186|134|28|130|161,102.83725033721372,
838,5,93|134|28|130|161,102.39561306948849,
839,6,186|93|134|28|130|161,102.96773880542148,
840,4,216|28|130|161,102.26032612997857,
841,5,186|216|28|130|161,102.83243639197211,
842,5,93|216|28|130|161,102.40608417990755,
843,6,186|93|216|28|130|161,102.9782099130553,
844,5,134|216|28|130|161,102.29850534856688,
845,6,186|134|216|28|130|161,102.87061097905652,
846,6,93|134|216|28|130|161,102.40693189487584,
847,7,186|93|134|216|28|130|161,102.97905763080884,
848,4,138|28|130|161,102.12037374226459,
849,5,186|138|28|130|161,102.69248834699033,
850,5,93|138|28|130|161,102.35701464389459,
851,6,186|93|138|28|130|161,102.92914034161568,
852,5,134|138|28|130|161,102.2934570522391,
853,6,186|134|138|28|130|161,102.86556664941673,
854,6,93|134|138|28|130|161,102.40037417761829,
855,7,186|93|134|138|28|130|161,102.9724977157926,
856,5,216|138|28|130|161,102.30583667945486,
857,6,186|216|138|28|130|161,102.87793840277902,
858,6,93|216|138|28|130|161,102.41083023620072,
859,7,186|93|216|138|28|130|161,102.98295593113654,
860,6,134|216|138|28|130|161,102.32612406303024,
861,7,186|134|216|138|28|130|161,102.89822587971629,
862,7,93|134|216|138|28|130|161,102.41168361434615,
863,8,186|93|134|216|138|28|130|161,102.98380715252044,
864,4,237|28|130|161,102.05765646199794,
865,5,186|237|28|130|161,102.62975434614997,
866,5,93|237|28|130|161,102.35230257750166,
867,6,186|93|237|28|130|161,102.92441831829744,
868,5,134|237|28|130|161,102.26518984152834,
869,6,186|134|237|28|130|161,102.83728770672127,
870,6,93|134|237|28|130|161,102.3956472957858,
871,7,186|93|134|237|28|130|161,102.96776303658159,
872,5,216|237|28|130|161,102.26037526417235,
873,6,186|216|237|28|130|161,102.83247277967246,
874,6,93|216|237|28|130|161,102.40611805133034,
875,7,186|93|216|237|28|130|161,102.97823379212612,
876,6,134|216|237|28|130|161,102.29853556896748,
877,7,186|134|216|237|28|130|161,102.87063315361848,
878,7,93|134|216|237|28|130|161,102.40696593267919,
879,8,186|93|134|216|237|28|130|161,102.979081673475,
880,5,138|237|28|130|161,102.12044803184394,
881,6,186|138|237|28|130|161,102.69254588103799,
882,6,93|138|237|28|130|161,102.3570483487802,
883,7,186|93|138|237|28|130|161,102.92916409098909,
884,6,134|138|237|28|130|161,102.29349263527503,
885,7,186|134|138|237|28|130|161,102.8655904851378,
886,7,93|134|138|237|28|130|161,102.40040714802124,
887,8,186|93|134|138|237|28|130|161,102.97252047671698,
888,6,216|138|237|28|130|161,102.30585200224232,
889,7,186|216|138|237|28|130|161,102.87794957089606,
890,7,93|216|138|237|28|130|161,102.41086371207622,
891,8,186|93|216|138|237|28|130|161,102.98297945428509,
892,7,134|216|138|237|28|130|161,102.32613706749176,
893,8,186|134|216|138|237|28|130|161,102.89823463681427,
894,8,93|134|216|138|237|28|130|161,102.41171639624912,
895,9,186|93|134|216|138|237|28|130|161,102.98382972494485,
896,3,219|130|161,101.98782373594494,
897,4,186|219|130|161,102.55995335087185,
898,4,93|219|130|161,102.34297159713017,
899,5,186|93|219|130|161,102.91509733306317,
900,4,134|219|130|161,102.26809554553309,
901,5,186|134|219|130|161,102.8402089878672,
902,5,93|134|219|130|161,102.39731959129469,
903,6,186|93|134|219|130|161,102.96944532722769,
904,4,216|219|130|161,102.26139782892176,
905,5,186|216|219|130|161,102.83350809091532,
906,5,93|216|219|130|161,102.40720224285839,
907,6,186|93|216|219|130|161,102.97932797879137,
908,5,134|216|219|130|161,102.29957647779379,
909,6,186|134|216|219|130|161,102.87168210828347,
910,6,93|134|216|219|130|161,102.40805176130544,
911,7,186|93|134|216|219|130|161,102.98017749723842,
912,4,138|219|130|161,102.06768073896944,
913,5,186|138|219|130|161,102.63979269835768,
914,5,93|138|219|130|161,102.34771776537319,
915,6,186|93|138|219|130|161,102.91984346309428,
916,5,134|138|219|130|161,102.29629430517775,
917,6,186|134|138|219|130|161,102.86840390235537,
918,6,93|134|138|219|130|161,102.4020850955069,
919,7,186|93|134|138|219|130|161,102.9742086336812,
920,5,216|138|219|130|161,102.30690864682553,
921,6,186|216|138|219|130|161,102.8790103701497,
922,6,93|216|138|219|130|161,102.41194829915155,
923,7,186|93|216|138|219|130|161,102.98407399687265,
924,6,134|216|138|219|130|161,102.32719519224113,
925,7,186|134|216|138|219|130|161,102.89929700892719,
926,7,93|134|216|138|219|130|161,102.41280348084132,
927,8,186|93|134|216|138|219|130|161,102.98492701901557,
928,4,237|219|130|161,101.98792429553032,
929,5,186|237|219|130|161,102.56002218167374,
930,5,93|237|219|130|161,102.34300616555974,
931,6,186|93|237|219|130|161,102.91512190635554,
932,5,134|237|219|130|161,102.26814849218181,
933,6,186|134|237|219|130|161,102.84024635737475,
934,6,93|134|237|219|130|161,102.397353817592,
935,7,186|93|134|237|219|130|161,102.96946955838779,
936,5,216|237|219|130|161,102.26144696311555,
937,6,186|216|237|219|130|161,102.83354447861566,
938,6,93|216|237|219|130|161,102.40723628066173,
939,7,186|93|216|237|219|130|161,102.97935202145753,
940,6,134|216|237|219|130|161,102.29960669819442,
941,7,186|134|216|237|219|130|161,102.8717042828454,
942,7,93|134|216|237|219|130|161,102.40808579910879,
943,8,186|93|134|216|237|219|130|161,102.98020153990457,
944,5,138|237|219|130|161,102.06772779330002,
945,6,186|138|237|219|130|161,102.63982564249407,
946,6,93|138|237|219|130|161,102.34775193825547,
947,7,186|93|138|237|219|130|161,102.91986768046435,
948,6,134|138|237|219|130|161,102.29632988821366,
949,7,186|134|138|237|219|130|161,102.86842773807646,
950,7,93|134|138|237|219|130|161,102.40211806590987,
951,8,186|93|134|138|237|219|130|161,102.97423139460562,
952,6,216|138|237|219|130|161,102.30692396961301,
953,7,186|216|138|237|219|130|161,102.87902153826674,
954,7,93|216|138|237|219|130|161,102.41198194140762,
955,8,186|93|216|138|237|219|130|161,102.9840976836165,
956,7,134|216|138|237|219|130|161,102.32720819670264,
957,8,186|134|216|138|237|219|130|161,102.89930576602512,
958,8,93|134|216|138|237|219|130|161,102.41283626274426,
959,9,186|93|134|216|138|237|219|130|161,102.98494959144001,
960,4,28|219|130|161,102.0597182609755,
961,5,186|28|219|130|161,102.6318568225944,
962,5,93|28|219|130|161,102.35403313396858,
963,6,186|93|28|219|130|161,102.9261588699016,
964,5,134|28|219|130|161,102.26809554553309,
965,6,186|134|28|219|130|161,102.8402089878672,
966,6,93|134|28|219|130|161,102.39731959129469,
967,7,186|93|134|28|219|130|161,102.96944532722769,
968,5,216|28|219|130|161,102.26139782892176,
969,6,186|216|28|219|130|161,102.83350809091532,
970,6,93|216|28|219|130|161,102.40720224285839,
971,7,186|93|216|28|219|130|161,102.97932797879137,
972,6,134|216|28|219|130|161,102.29957647779379,
973,7,186|134|216|28|219|130|161,102.87168210828347,
974,7,93|134|216|28|219|130|161,102.40805176130544,
975,8,186|93|134|216|28|219|130|161,102.98017749723842,
976,5,138|28|219|130|161,102.12251000125013,
977,6,186|138|28|219|130|161,102.69462460597587,
978,6,93|138|28|219|130|161,102.35877930079442,
979,7,186|93|138|28|219|130|161,102.93090499851552,
980,6,134|138|28|219|130|161,102.29629430517775,
981,7,186|134|138|28|219|130|161,102.86840390235537,
982,7,93|134|138|28|219|130|161,102.4020850955069,
983,8,186|93|134|138|28|219|130|161,102.9742086336812,
984,6,216|138|28|219|130|161,102.30690864682553,
985,7,186|216|138|28|219|130|161,102.8790103701497,
986,7,93|216|138|28|219|130|161,102.41194829915155,
987,8,186|93|216|138|28|219|130|161,102.98407399687265,
988,7,134|216|138|28|219|130|161,102.32719519224113,
989,8,186|134|216|138|28|219|130|161,102.89929700892719,
990,8,93|134|216|138|28|219|130|161,102.41280348084132,
991,9,186|93|134|216|138|28|219|130|161,102.98492701901557,
992,5,237|28|219|130|161,102.05986889164173,
993,6,186|237|28|219|130|161,102.63196677579376,
994,6,93|237|28|219|130|161,102.35406723440147,
995,7,186|93|237|28|219|130|161,102.92618297519726,
996,6,134|237|28|219|130|161,102.26814849218181,
997,7,186|134|237|28|219|130|161,102.84024635737475,
998,7,93|134|237|28|219|130|161,102.397353817592,
999,8,186|93|134|237|28|219|130|161,102.96946955838779,
1000,6,216|237|28|219|130|161,102.26144696311555,
1001,7,186|216|237|28|219|130|161,102.83354447861566,
1002,7,93|216|237|28|219|130|161,102.40723628066173,
1003,8,186|93|216|237|28|219|130|161,102.97935202145753,
1004,7,134|216|237|28|219|130|161,102.29960669819442,
1005,8,186|134|216|237|28|219|130|161,102.8717042828454,
1006,8,93|134|216|237|28|219|130|161,102.40808579910879,
1007,9,186|93|134|216|237|28|219|130|161,102.98020153990457,
1008,6,138|237|28|219|130|161,102.12258429082948,
1009,7,186|138|237|28|219|130|161,102.6946821400235,
1010,7,93|138|237|28|219|130|161,102.35881300568003,
1011,8,186|93|138|237|28|219|130|161,102.93092874788891,
1012,7,134|138|237|28|219|130|161,102.29632988821366,
1013,8,186|134|138|237|28|219|130|161,102.86842773807646,
1014,8,93|134|138|237|28|219|130|161,102.40211806590987,
1015,9,186|93|134|138|237|28|219|130|161,102.97423139460562,
1016,7,216|138|237|28|219|130|161,102.30692396961301,
1017,8,186|216|138|237|28|219|130|161,102.87902153826674,
1018,8,93|216|138|237|28|219|130|161,102.41198194140762,
1019,9,186|93|216|138|237|28|219|130|161,102.9840976836165,
1020,8,134|216|138|237|28|219|130|161,102.32720819670264,
1021,9,186|134|216|138|237|28|219|130|161,102.89930576602512,
1022,9,93|134|216|138|237|28|219|130|161,102.41283626274426,
1023,10,186|93|134|216|138|237|28|219|130|161,102.98494959144001,
